,,,Account details,,,,,,,Payment details,,,,,,,,,,,Account health,,,,,,,,Account decision,,,
Facilities,Parent,n10,Account Status,# Net Terms,Timezone,Autopay,Payment cycle,Last payment method,na,Past Due Balance,# of Past Due Invoices,Total Outstanding Balance,# Outstanding  Invoices,Broken P2P Count,Broken P2P Balance,Boken/Underpaid Invoice numbers,Open Credits,Total Open P2P,Next Invoice Due date,na1,# of pend/suspend cycles last 6-months,Total Count of Past Due in 7 Days,% of Past due/Total AR,Total ineligible,Near ineligible,Facility Payment Score,Payment Category,na3,Automated pend/suspend reccomendation,Action Decision for the Week,"Action plan
(Tell your story - Explain your Situation, Task, Action , Resolution where possible)",TL comments/questions
Autumn Lake Healthcare At Southgate,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Insufficient Data,check,," $ 52,353.28 ",6," $ 96,299.53 ",10,,,," $ 12,502.00 ",,1/21/2026,,,1,54.37%, $ -   ," $ 12,551.61 ",41,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Cherry Hill,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 202,839.64 ",10," $ 337,478.06 ",15,,,,,,1/21/2026,,,1,60.10%," $ 27,406.08 "," $ 71,344.10 ",41,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Greenfield,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 172,621.11 ",4," $ 380,198.65 ",9,,,,,,1/21/2026,,,1,45.40%, $ -   , $ -   ,44,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Salem County,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Insufficient Data,check,," $ 210,672.39 ",10," $ 326,930.33 ",15,,,, $ 103.50 ,,1/21/2026,,,1,64.44%," $ 31,537.29 "," $ 96,540.74 ",41,Bad Payer,,Suspension,,,
Autumn Lake Healthcare Of Ocean View,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 124,311.26 ",6," $ 199,436.85 ",10,,,," $ 14,125.36 ",,1/21/2026,,,1,62.33%, $ -   ," $ 43,691.87 ",38,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Braddock Heights,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 21,447.66 ",7," $ 28,762.04 ",12,,,,,,1/21/2026,,,1,74.57%, $ -   ," $ 10,046.63 ",39,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Linwood,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 243,132.90 ",8," $ 354,127.99 ",12,,,, $ 95.25 ,,1/21/2026,,,1,68.66%," $ 24,370.76 "," $ 75,607.97 ",45,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Berkeley Heights,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 44,904.42 ",8," $ 49,866.70 ",11,,,,,,1/28/2026,,,0,90.05%," $ 9,852.93 "," $ 22,315.62 ",39,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Spa Creek,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 17,398.60 ",4," $ 34,765.72 ",8,,,,,,1/21/2026,,,1,50.05%, $ -   , $ -   ,35,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Glen Burnie,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 100,702.23 ",11," $ 126,725.38 ",16,,,,,,1/21/2026,,,1,79.46%," $ 15,182.20 "," $ 53,671.60 ",39,Bad Payer,,Suspension,,,
Autumn Lake Hc At Oak Manor,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Insufficient Data,No Data Found,," $ 27,751.52 ",16," $ 40,272.64 ",21,,,,,,1/21/2026,,,1,68.91%," $ 17,811.17 "," $ 5,730.29 ",37,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Long View,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 43,230.33 ",8," $ 58,502.64 ",13,,,,,,1/21/2026,,,1,73.89%, $ -   ," $ 19,054.00 ",37,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At New Britain,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Insufficient Data,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,59,Ok Payer,,Keep Enrolled,,,
Autumn Lake Healthcare At Patuxent River,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 74,732.75 ",8," $ 131,360.70 ",12,,,,,,1/21/2026,,,1,56.89%, $ -   ," $ 28,676.44 ",37,Bad Payer,,Suspension,,,
Autumn Lake Healthcare at Baltimore Washington,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 32,176.49 ",7," $ 67,086.89 ",11,,,,,,1/21/2026,,,1,47.96%, $ -   ," $ 10,618.63 ",37,Bad Payer,,Suspension,,,
Aurora Valley Care,Caldera Care (Parent),,ENROLLED,45,,,Bi-Weekly,check,," $ 33,904.29 ",7," $ 73,789.11 ",14,,,,,,1/17/2026,,,2,45.95%, $ -   ," $ 28,524.93 ",30,Bad Payer,,Suspension,,,
Willapa Harbor Care,Caldera Care (Parent),,ENROLLED,45,,,Weekly,check,," $ 45,270.90 ",7," $ 89,904.55 ",13,,,,,,1/22/2026,,,1,50.35%," $ 5,850.40 "," $ 23,815.00 ",33,Bad Payer,,Suspension,,,
Sequim Health and Rehabilitation,Caldera Care (Parent),,ARCHIVED,45,,,Bi-Weekly,check,, $ -   ,0, $ -   ,0,,,, $ 657.00 ,,No upcoming invoices,,,0,," $ 16,796.92 ", $ -   ,39,Bad Payer,,ARCHIVED,,,
Meadow Park Health & Specialty Care Center,Caldera Care (Parent),,ARCHIVED,45,,,Weekly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,," $ 4,816.00 ", $ -   ,68,Ok Payer,,ARCHIVED,,,
Spokane Falls Care,Caldera Care (Parent),,ENROLLED,45,,,Bi-Weekly,check,," $ 52,709.88 ",8," $ 113,838.36 ",14,,,,,,1/22/2026,,,1,46.30%," $ 15,451.50 "," $ 21,848.32 ",29,Bad Payer,,Suspension,,,
Fir Lane Health And Rehab Ctr,Caldera Care (Parent),,ENROLLED,45,,,Weekly,check,," $ 159,849.98 ",8," $ 262,614.99 ",16,,,,,,1/17/2026,,,2,60.87%," $ 50,724.26 "," $ 82,518.96 ",32,Bad Payer,,Suspension,,,
Emerald Bay Care,Caldera Care (Parent),,ARCHIVED,45,,,Weekly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,62,Ok Payer,,ARCHIVED,,,
Olympic View Care,Caldera Care (Parent),,ARCHIVED,45,,,Irregular,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,64,Ok Payer,,ARCHIVED,,,
Meadow Park Health & Specialty Care Center 2,Caldera Care (Parent),,ARCHIVED,45,,,Bi-Weekly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,64,Ok Payer,,ARCHIVED,,,
Othello Care,Caldera Care (Parent),,ARCHIVED,45,,,Monthly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,62,Ok Payer,,ARCHIVED,,,
Bridgeview Care,Caldera Care (Parent),,ARCHIVED,45,,,Weekly,check,, $ -   ,0, $ -   ,0,,,, $ 432.00 ,,No upcoming invoices,,,0,, $ -   , $ -   ,61,Ok Payer,,ARCHIVED,,,
Ivy Court-coeur D'alene,Caldera Care (Parent),,ENROLLED,45,,,#VALUE!,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,64,Ok Payer,,Keep Enrolled,,,
Edmonds Care,Caldera Care (Parent),,ARCHIVED,45,,,Weekly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,66,Ok Payer,,ARCHIVED,,,
Pullman Care,Caldera Care (Parent),,ARCHIVED,45,,,Weekly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,69,Ok Payer,,ARCHIVED,,,
Sequim Post Acute 2 (archived),Caldera Care (Parent),,ARCHIVED,45,,,Monthly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,82,Good Payer,,ARCHIVED,,,
